0.00782 0.9726 0.0021 0.9727 0.0021 0.0048 0.0031 2 22
0.00694 0.9793 0.0040 0.9794 0.0040 0.0046 0.0029 2 22
0.00597 0.9762 0.0029 0.9762 0.0029 0.0044 0.0028 2 22
0.00511 0.9877 0.0028 0.9878 0.0028 0.0043 0.0026 2 22
0.00441 0.9864 0.0032 0.9864 0.0032 0.0044 0.0024 2 22
0.00379 0.9988 0.0030 0.9988 0.0030 0.0044 0.0023 2 22
0.00328 0.9820 0.0035 0.9821 0.0035 0.0045 0.0022 2 22
0.00283 0.9925 0.0037 0.9925 0.0037 0.0046 0.0022 2 22
0.00245 0.9976 0.0030 0.9977 0.0030 0.0049 0.0021 2 22
0.00211 1.0015 0.0039 1.0016 0.0039 0.0055 0.0022 2 22
0.00183 0.9933 0.0043 0.9935 0.0043 0.0063 0.0023 2 22
