0.1317 0.9866 0.0058 0.0045 2
0.1504 0.9797 0.0051 0.0047 2
0.2015 0.9763 0.0047 0.0052 2
0.2586 0.9674 0.005 0.0055 2
0.3208 0.9582 0.0047 0.0058 2
0.3875 0.9536 0.0047 0.0061 2
0.4578 0.9485 0.0054 0.0063 2
0.5310 0.9344 0.005 0.0064 2
0.6062 0.9296 0.0051 0.0066 2
0.6828 0.9175 0.0055 0.0066 2
0.2335 0.9695 0.0052 0.0044 2
0.2663 0.9670 0.0051 0.0045 2
0.3560 0.9598 0.0052 0.0049 2
0.4556 0.9432 0.0043 0.0051 2
0.5637 0.9300 0.0044 0.0053 2
0.6787 0.9216 0.0045 0.0054 2
0.7993 0.9045 0.0056 0.0055 2
0.9239 0.8970 0.0062 0.0048 2
