0.1324 0.9807 0.0098 0.0045 4
0.2599 0.9654 0.0047 0.0055 4
0.3225 0.9487 0.0048 0.0058 4
0.3895 0.9443 0.0055 0.0061 4
0.4602 0.9366 0.0042 0.0063 4
0.5337 0.9314 0.0041 0.0064 4
0.6093 0.9183 0.0041 0.0066 4
0.6863 0.9093 0.0048 0.0066 4
0.7639 0.8973 0.0054 0.0067 4
0.1907 0.9763 0.0095 0.0044 4
0.3730 0.9499 0.0042 0.0053 4
0.4620 0.9350 0.0044 0.0055 4
0.5569 0.9300 0.0041 0.0057 4
0.6567 0.9132 0.0036 0.0058 4
0.7601 0.9053 0.0034 0.0059 4
0.8660 0.8922 0.0035 0.0059 4
0.2337 0.9637 0.0103 0.0044 4
0.4561 0.9336 0.0065 0.0051 4
0.5642 0.9249 0.0054 0.0053 4
0.6794 0.9082 0.0067 0.0054 4
0.9248 0.8847 0.0052 0.0055 4
0.3063 0.9540 0.0098 0.0042 4
0.5956 0.9262 0.0061 0.0048 4
0.7357 0.9053 0.0058 0.0050 4
0.8843 0.8919 0.0046 0.0050 4
0.3633 0.9378 0.0094 0.0042 4
0.5521 0.9200 0.0054 0.0045 4
0.7048 0.9064 0.0063 0.0046 4
0.8695 0.8888 0.0052 0.0047 4
0.4405 0.9430 0.0097 0.0040 4
